      Time   Sample #  Type  Sub Chan  Num	Aux
   10:12.000   153000     (    0    0    2
   10:12.088   153022     t    0    0    0
   10:12.188   153047     )    0    0    2
   10:12.464   153116     (    0    0    0
   10:12.520   153130     p    0    0    0
   10:12.588   153147     )    0    0    0
   10:12.656   153164     (    0    0    1
   10:12.708   153177     N    0    0    1
   10:12.768   153192     )    0    0    1
   10:12.904   153226     (    0    0    2
   10:13.004   153251     t    0    0    0
   10:13.128   153282     )    0    0    2
   10:13.416   153354     (    0    0    0
   10:13.472   153368     p    0    0    0
   10:13.528   153382     )    0    0    0
   10:13.604   153401     (    0    0    1
   10:13.664   153416     N    0    0    1
   10:13.720   153430     )    0    0    1
   10:13.880   153470     (    0    0    2
   10:13.964   153491     t    0    0    0
   10:14.076   153519     )    0    0    2
   10:14.348   153587     (    0    0    0
   10:14.420   153605     p    0    0    0
   10:14.484   153621     )    0    0    0
   10:14.556   153639     (    0    0    1
   10:14.612   153653     N    0    0    1
   10:14.664   153666     )    0    0    1
   10:14.816   153704     (    0    0    2
   10:14.912   153728     t    0    0    0
   10:15.020   153755     )    0    0    2
   10:15.272   153818     (    0    0    0
   10:15.344   153836     p    0    0    0
   10:15.408   153852     )    0    0    0
   10:15.480   153870     (    0    0    1
   10:15.540   153885     N    0    0    1
   10:15.592   153898     )    0    0    1
   10:15.740   153935     (    0    0    2
   10:15.836   153959     t    0    0    0
   10:15.956   153989     )    0    0    2
   10:16.232   154058     (    0    0    0
   10:16.292   154073     p    0    0    0
   10:16.360   154090     )    0    0    0
   10:16.424   154106     (    0    0    1
   10:16.484   154121     N    0    0    1
   10:16.564   154141     )    0    0    1
   10:16.684   154171     (    0    0    2
   10:16.784   154196     t    0    0    0
   10:16.896   154224     )    0    0    2
   10:17.188   154297     (    0    0    0
   10:17.248   154312     p    0    0    0
   10:17.304   154326     )    0    0    0
   10:17.372   154343     (    0    0    1
   10:17.440   154360     N    0    0    1
   10:17.496   154374     )    0    0    1
   10:17.652   154413     (    0    0    2
   10:17.736   154434     t    0    0    0
   10:17.832   154458     )    0    0    2
   10:18.116   154529     (    0    0    0
   10:18.176   154544     p    0    0    0
   10:18.248   154562     )    0    0    0
   10:18.312   154578     (    0    0    1
   10:18.368   154592     N    0    0    1
   10:18.424   154606     )    0    0    1
   10:18.584   154646     (    0    0    2
   10:18.668   154667     t    0    0    0
   10:18.752   154688     )    0    0    2
   10:19.068   154767     (    0    0    0
   10:19.128   154782     p    0    0    0
   10:19.192   154798     )    0    0    0
   10:19.248   154812     (    0    0    1
   10:19.320   154830     N    0    0    1
   10:19.376   154844     )    0    0    1
   10:19.536   154884     (    0    0    2
   10:19.620   154905     t    0    0    0
   10:19.720   154930     )    0    0    2
   10:19.992   154998     (    0    0    0
   10:20.088   155022     p    0    0    0
   10:20.152   155038     )    0    0    0
   10:20.224   155056     (    0    0    1
   10:20.280   155070     N    0    0    1
   10:20.336   155084     )    0    0    1
   10:20.472   155118     (    0    0    2
   10:20.584   155146     t    0    0    0
   10:20.676   155169     )    0    0    2
   10:20.924   155231     (    0    0    0
   10:20.992   155248     p    0    0    0
   10:21.060   155265     )    0    0    0
   10:21.120   155280     (    0    0    1
   10:21.180   155295     N    0    0    1
   10:21.248   155312     )    0    0    1
   10:21.364   155341     (    0    0    2
   10:21.476   155369     t    0    0    0
   10:21.572   155393     )    0    0    2
   10:21.852   155463     (    0    0    0
   10:21.928   155482     p    0    0    0
   10:21.996   155499     )    0    0    0
   10:22.052   155513     (    0    0    1
   10:22.112   155528     N    0    0    1
   10:22.168   155542     )    0    0    1
   10:22.300   155575     (    0    0    2
   10:22.412   155603     t    0    0    0
   10:22.496   155624     )    0    0    2
   10:22.760   155690     (    0    0    0
   10:22.840   155710     p    0    0    0
   10:22.904   155726     )    0    0    0
   10:22.960   155740     (    0    0    1
   10:23.028   155757     N    0    0    1
   10:23.076   155769     )    0    0    1
   10:23.228   155807     (    0    0    2
   10:23.320   155830     t    0    0    0
   10:23.420   155855     )    0    0    2
   10:23.692   155923     (    0    0    0
   10:23.748   155937     p    0    0    0
   10:23.820   155955     )    0    0    0
   10:23.888   155972     (    0    0    1
   10:23.940   155985     N    0    0    1
   10:23.996   155999     )    0    0    1
   10:24.144   156036     (    0    0    2
   10:24.244   156061     t    0    0    0
   10:24.352   156088     )    0    0    2
   10:24.628   156157     (    0    0    0
   10:24.684   156171     p    0    0    0
   10:24.752   156188     )    0    0    0
   10:24.808   156202     (    0    0    1
   10:24.876   156219     N    0    0    1
   10:24.932   156233     )    0    0    1
   10:25.080   156270     (    0    0    2
   10:25.176   156294     t    0    0    0
   10:25.292   156323     )    0    0    2
   10:25.548   156387     (    0    0    0
   10:25.620   156405     p    0    0    0
   10:25.688   156422     )    0    0    0
   10:25.756   156439     (    0    0    1
   10:25.808   156452     N    0    0    1
   10:25.852   156463     )    0    0    1
   10:26.000   156500     (    0    0    2
   10:26.104   156526     t    0    0    0
   10:26.200   156550     )    0    0    2
   10:26.460   156615     (    0    0    0
   10:26.532   156633     p    0    0    0
   10:26.600   156650     )    0    0    0
   10:26.656   156664     (    0    0    1
   10:26.724   156681     N    0    0    1
   10:26.780   156695     )    0    0    1
   10:26.916   156729     (    0    0    2
   10:27.020   156755     t    0    0    0
   10:27.132   156783     )    0    0    2
   10:27.396   156849     (    0    0    0
   10:27.464   156866     p    0    0    0
   10:27.536   156884     )    0    0    0
   10:27.584   156896     (    0    0    1
   10:27.644   156911     N    0    0    1
   10:27.700   156925     )    0    0    1
   10:27.832   156958     (    0    0    2
   10:27.944   156986     t    0    0    0
   10:28.044   157011     )    0    0    2
   10:28.316   157079     (    0    0    0
   10:28.384   157096     p    0    0    0
   10:28.440   157110     )    0    0    0
   10:28.508   157127     (    0    0    1
   10:28.564   157141     N    0    0    1
   10:28.620   157155     )    0    0    1
   10:28.748   157187     (    0    0    2
   10:28.856   157214     t    0    0    0
   10:28.968   157242     )    0    0    2
